      Magnets           dBLdI        DesignNumber   
                        T*m/A                         
---------------------------------------------------
       CM1YG4C07B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C07B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C07B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C07B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C07B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C07B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C08A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C08A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C08A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C08A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C08A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C08A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C08B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C08B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C08B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C08B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C08B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C08B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C09A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C09A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C09A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C09A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C09A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C09A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C09B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C09B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C09B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C09B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C09B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C09B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C10A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C10A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C10A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C10A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C10A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C10A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C10B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C10B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C10B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C10B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C10B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C10B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C11A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C11A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C11A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C11A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C11A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C11A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C11B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C11B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C11B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C11B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C11B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C11B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C12A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C12A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C12A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C12A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C12A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C12A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C12B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C12B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C12B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C12B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C12B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C12B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C13A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C13A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C13A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C13A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C13A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C13A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C13B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C13B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C13B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C13B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C13B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C13B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C14A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C14A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C14A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C14A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C14A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C14A   5.520000e-04  SR-MG-CRR-1000-V 
